300		
78.3	13.8	1
91.1	7	1
82.3	10	1
81.7	7.4	1
72.6	10.5	1
85.2	10.9	1
73.4	11.9	1
61.1	12.4	1
85.3	12.3	1
71.2	10	1
70.6	7.1	1
80	15	1
85.4	10.7	1
68.5	8.4	1
79.5	12.3	1
91.2	10.9	1
78.2	12.7	1
81.3	6.7	1
98.6	9.2	1
67.8	9.6	1
85.9	8.6	1
98.7	7.9	1
86.8	11.3	1
81.4	9.4	1
104.9	12	1
91.5	8.8	1
71.9	9.5	1
84.5	12.5	1
79.5	6.7	1
90.1	11.6	1
98.8	10.3	1
84.3	9.4	1
85.9	7.2	1
67.9	8.3	1
76.7	10.9	1
82.1	13.1	1
92.3	7.5	1
76.7	10.3	1
66.1	7.5	1
71.9	9.5	1
62.6	13.6	1
96	10.2	1
84.6	8.5	1
88	9.6	1
82	10.3	1
66.2	12	1
75.3	14.8	1
66.6	11.7	1
76.8	9.7	1
68.1	10	1
88.8	8.5	1
85	8.4	1
86.6	12.3	1
89.4	9.9	1
83.6	9.9	1
73.1	10.4	1
67.3	10.2	1
85.3	9	1
87.9	8	1
72.3	10.6	1
82.3	6.6	1
86.5	11.1	1
79.8	8.6	1
65.2	7.6	1
94.5	8.8	1
78.6	5.2	1
82.8	6.5	1
92.6	8.9	1
96.8	12.3	1
83.5	9.8	1
80.9	8.7	1
84.3	7.8	1
82.8	7.9	1
73.9	9.1	1
76.7	8.1	1
68.6	12.6	1
71.3	7	1
73.9	10.3	1
79.2	12.5	1
85.6	7.5	1
78.5	9.7	1
79.7	13.6	1
84.4	12.1	1
75.7	9.3	1
76.2	12.2	1
61	8	1
87.2	10.6	1
79.2	9.5	1
88.5	10.3	1
53.3	6.8	1
60.9	7.6	1
80	7.5	1
95.4	8.6	1
68.5	9.8	1
79.8	12.2	1
78.6	7	1
79.7	9.5	1
76.9	8.6	1
80.2	9.2	1
85.3	9.3	1
78.5	10.6	1
86.1	11	1
75.3	10.4	1
66.2	12.5	1
100.9	9.7	1
68	10.4	1
81.6	9	1
79.1	12.6	1
80.3	10.1	1
