300
674	199	1.82
644	41	1.66
617	197	1.52
358	147	0.51
352	248	0.49
835	185	2.79
444	164	0.79
766	168	2.35
115	115	0.05
326	108	0.42
637	200	1.62
733	188	2.15
147	230	0.09
378	70	0.57
813	43	2.64
182	151	0.13
513	110	1.05
221	279	0.19
906	123	3.28
681	282	1.85
989	42	3.91
826	229	2.73
726	167	2.11
174	107	0.12
901	286	3.25
391	174	0.61
257	113	0.26
358	170	0.51
981	192	3.85
510	219	1.04
279	185	0.31
610	132	1.49
810	46	2.62
185	135	0.14
915	62	3.35
431	208	0.74
951	265	3.62
693	142	1.92
646	142	1.67
615	140	1.51
286	275	0.33
684	248	1.87
771	124	2.38
893	208	3.19
599	214	1.43
946	250	3.58
882	70	3.11
656	92	1.72
553	24	1.22
609	270	1.48
63	238	0.01
612	252	1.50
358	53	0.51
868	162	3.01
803	54	2.58
723	125	2.09
86	128	0.03
402	112	0.65
426	84	0.73
869	168	3.02
751	49	2.26
436	166	0.76
122	168	0.06
814	225	2.65
73	184	0.02
347	152	0.48
260	188	0.27
870	235	3.03
652	150	1.70
142	121	0.08
766	26	2.35
562	92	1.26
991	93	3.93
369	140	0.54
674	124	1.82
260	217	0.27
174	230	0.12
81	189	0.03
921	158	3.39
360	101	0.52
447	202	0.80
437	184	0.76
405	254	0.66
715	121	2.04
746	274	2.22
177	77	0.13
588	276	1.38
841	99	2.83
570	49	1.30
98	272	0.04
444	176	0.79
852	136	2.90
436	44	0.76
706	209	1.99
115	153	0.05
88	164	0.03
543	85	1.18
541	57	1.17
679	64	1.84
990	74	3.92
498	272	0.99
906	193	3.28
827	174	2.74
865	260	2.99
802	44	2.57
531	213	1.13
975	82	3.80
931	210	3.47
554	186	1.23
428	277	0.73
828	41	2.74
661	60	1.75
125	68	0.06
475	27	0.90
402	12	0.65
450	209	0.81
446	152	0.80
484	39	0.94
685	262	1.88
781	154	2.44
478	276	0.91
252	66	0.25
673	93	1.81
471	162	0.89
438	217	0.77
220	101	0.19
455	60	0.83
558	236	1.24
562	176	1.26
532	17	1.13
802	56	2.57
963	163	3.71
852	101	2.90
170	149	0.12
208	216	0.17
590	189	1.39
772	173	2.38
209	125	0.17
94	82	0.04
727	108	2.11
957	182	3.66
659	247	1.74
541	199	1.17
362	165	0.52
702	160	1.97
199	165	0.16
417	188	0.69
202	234	0.16
386	185	0.60
478	267	0.91
326	185	0.42
355	235	0.50
981	16	3.85
283	86	0.32
1000	210	4.00
406	267	0.66
281	59	0.32
857	258	2.94
232	91	0.21
993	39	3.94
427	282	0.73
606	181	1.47
244	247	0.24
352	137	0.50
680	77	1.85
303	274	0.37
708	238	2.00
462	204	0.85
540	246	1.17
915	239	3.35
984	189	3.87
173	55	0.12
161	267	0.10
246	63	0.24
716	99	2.05
690	208	1.90
807	77	2.60
938	31	3.52
553	231	1.22
773	127	2.39
272	95	0.30
422	76	0.71
927	59	3.44
377	256	0.57
329	143	0.43
578	219	1.34
375	229	0.56
303	109	0.37
641	133	1.64
124	247	0.06
477	199	0.91
357	112	0.51
616	58	1.52
508	254	1.03
823	112	2.71
188	171	0.14
721	107	2.08
748	44	2.24
274	123	0.30
917	118	3.36
809	270	2.62
463	17	0.86
823	239	2.71
461	77	0.85
165	71	0.11
948	274	3.59
230	22	0.21
722	112	2.08
288	20	0.33
360	282	0.52
702	85	1.97
393	219	0.62
766	100	2.35
450	222	0.81
594	149	1.41
284	205	0.32
822	70	2.70
155	106	0.10
164	252	0.11
262	235	0.27
647	283	1.67
465	241	0.86
841	65	2.83
759	235	2.30
843	180	2.84
260	52	0.27
879	60	3.09
155	183	0.10
753	241	2.27
317	187	0.40
372	110	0.55
348	51	0.48
138	27	0.08
748	15	2.24
702	159	1.97
867	30	3.01
751	35	2.26
348	190	0.48
834	264	2.78
333	103	0.44
354	228	0.50
765	99	2.34
409	264	0.67
830	86	2.76
166	160	0.11
892	154	3.18
110	216	0.05
704	30	1.98
111	282	0.05
424	34	0.72
458	197	0.84
990	133	3.92
815	230	2.66
248	136	0.25
104	181	0.04
846	228	2.86
269	214	0.29
147	169	0.09
911	218	3.32
797	63	2.54
934	76	3.49
83	117	0.03
175	20	0.12
392	272	0.61
225	63	0.20
934	157	3.49
659	252	1.74
186	153	0.14
192	83	0.15
810	161	2.62
469	104	0.88
298	24	0.36
777	150	2.41
981	221	3.85
705	150	1.99
930	113	3.46
735	68	2.16
776	79	2.41
141	241	0.08
149	134	0.09
505	148	1.02
732	168	2.14
805	286	2.59
980	132	3.84
843	134	2.84
598	260	1.43
425	91	0.72
206	225	0.17
707	137	2.00
351	133	0.49
900	56	3.24
88	36	0.03
729	287	2.12
992	127	3.94
864	18	2.99
171	252	0.12
507	261	1.03
119	35	0.06
362	248	0.52
110	160	0.05
